IdLojista,Mes,NmLojista,NmClusterLojista,NmMundoLojista,QtPedidoColocado,QtItemColocado,QtPedidoAprovado,QtItemAprovado,VrTotalPedidoColocado,VrTotalPedidoAprovado,StLojista,TxAprovacao
10205,2,RM Adesivos,A,Cauda Longa,6,6,3,3,365.9400,182.0900,ativo,0.49759523
11244,1,Capital do Enxoval,A,Cauda Longa,113,123,84,94,18085.4500,13573.6000,ativo,0.75052598
11271,1,UTILFERRAMENTAS,AAA,Cauda Longa,521,616,405,484,76811.4300,51427.7600,inativo,0.66953265
12028,4,ABMIDIA,A,Cauda Longa,441,528,348,412,64936.9600,50041.3100,ativo,0.77061368
12038,3,Itotal,AA,Linha Branca,316,322,269,273,302119.0000,254249.5000,ativo,0.84155416
12222,1,KEEP BRASIL,A,Cauda Longa,1,1,1,1,108.7900,108.7900,inativo,1.00000000
12275,4,POTINHO DE MEL,A,Cauda Longa,19,19,13,13,2794.5400,1747.2900,ativo,0.62525138
13834,1,Dinamar,A,Cauda Longa,15,16,9,10,2311.3900,1803.6700,ativo,0.78033997
14223,4,Mobay,A,Cauda Longa,5,5,5,5,6504.5600,6504.5600,ativo,1.00000000
14324,9,Esfera Digital,A,Cauda Longa,1,1,1,1,657.2000,657.2000,ativo,1.00000000
14346,4,Formigari Informática,A,Cauda Longa,1,1,0,0,2592.9300,0.0000,ativo,0E-8
14354,6,Arco e Flecha,A,Cauda Longa,25,29,16,18,5659.5000,3073.1200,ativo,0.54300203
14507,1,LDSmobile,A,Cauda Longa,43,44,23,23,31162.6700,11279.0300,ativo,0.36194042
14600,1,Noy Brinquedos,A,Cauda Longa,41,44,28,30,6848.3400,4251.5700,ativo,0.62081760
14725,9,Fast Free,A,Cauda Longa,10,11,8,9,844.5800,709.2700,ativo,0.83979019
14806,4,Ludy Livros,A,Cauda Longa,38,38,33,33,2758.2000,2426.2000,ativo,0.87963164
14898,8,Aquarismo Total,A,Cauda Longa,23,27,16,20,3746.7600,2621.9700,ativo,0.69979662
15195,8,Vmsom,A,Cauda Longa,7,10,2,2,2829.7200,384.9200,ativo,0.13602759
15272,8,Vaio Oficial,AAA,Tecnologia,343,371,233,245,661959.6000,389836.2000,ativo,0.58891237
15325,7,Lojas Passold,A,Cauda Longa,5,5,1,1,1226.8700,240.3900,ativo,0.19593763
15493,1,Dr Online,A,Cauda Longa,2,2,1,1,1120.2600,560.1300,ativo,0.50000000
15901,9,Gorila Clube,A,Cauda Longa,7,8,7,8,522.9500,522.9500,ativo,1.00000000
16128,6,DERMAdoctor,AAA,Cauda Longa,46,54,26,30,13549.4600,3888.1300,ativo,0.28695830
16131,3,Vale Comp,A,Cauda Longa,23,24,11,12,2654.3100,1397.6800,ativo,0.52656999
16368,5,ALM Comercial,A,Linha Branca,100,102,71,73,36774.4900,26112.9300,ativo,0.71008272
16450,9,CP Eletrônicos,A,Cauda Longa,1,1,1,1,70.0400,70.0400,ativo,1.00000000
16541,4,Shop UD,A,Cauda Longa,157,192,139,167,10167.1700,9096.6700,ativo,0.89471013
16659,6,Decora Online,A,Cauda Longa,9,9,8,8,2348.4100,2064.5100,ativo,0.87910970
16962,2,Verside,A,Cauda Longa,72,77,60,64,23490.7700,21499.3800,ativo,0.91522670
17027,5,PONTOFIT,A,Cauda Longa,2,2,2,2,124.8800,124.8800,ativo,1.00000000
17099,9,Lumilife,A,Cauda Longa,4,4,3,3,676.7800,426.4800,ativo,0.63016047
17117,6,Vivare Brasil,A,Cauda Longa,26,31,22,27,8437.8200,6918.6700,ativo,0.81995942
17126,7,Amplo Espaço Vendas,A,Móveis,11,12,8,9,6185.8400,4543.0900,ativo,0.73443380
17402,4,Eletro Flores,A,Linha Branca,10,10,9,9,4067.7000,3863.3000,ativo,0.94975047
17440,4,Sjons Modas,A,Cauda Longa,4,4,0,0,195.5400,0.0000,ativo,0E-8
17842,2,GP CHOCADEIRAS,A,Cauda Longa,1,1,0,0,570.7900,0.0000,ativo,0E-8
17990,1,PIMA COMERCIO DIGITAL,AAA,Tecnologia,205,236,163,190,184528.7500,136484.7500,ativo,0.73963949
18194,9,Cromunfer,A,Cauda Longa,2,2,0,0,536.8000,0.0000,ativo,0E-8
18285,2,Techno Store,A,Cauda Longa,11,11,5,5,12771.1000,4950.6400,inativo,0.38764398
18392,3,Epoca Cosmeticos,AAA,Cauda Longa,1119,1281,892,1029,238927.8700,180579.5400,ativo,0.75579103
19111,2,Fly Games SP,A,Tecnologia,1,1,0,0,227.2900,0.0000,ativo,0E-8
19135,8,Armazém Dtudo,A,Cauda Longa,2,2,2,2,904.8300,904.8300,ativo,1.00000000
19168,6,Web Surf Shop,A,Cauda Longa,1,1,0,0,115.0100,0.0000,ativo,0E-8
19382,4,A Exclusiva,A,Cauda Longa,3,3,1,1,701.8900,110.2800,ativo,0.15711864
19451,2,COPEL COLCHÕES,AAA,Móveis,11,11,6,6,44906.5600,7964.5400,ativo,0.17735805
19462,3,MESAS PARA CHURRASCO,A,Móveis,23,23,15,15,33396.7000,22140.3000,ativo,0.66294873
19615,4,FM MOTOS,A,Cauda Longa,81,87,43,47,15020.3400,6849.1900,ativo,0.45599434
20470,6,Carmélia,A,Cauda Longa,3,3,1,1,127.8000,36.2000,ativo,0.28325509
20870,5,Óculos Store,A,Cauda Longa,9,9,5,5,2198.2100,1134.0500,ativo,0.51589703
20959,8,ViniSound,AAA,Cauda Longa,238,249,95,101,195460.4700,66258.4100,ativo,0.33898624
21031,2,Kbral69,A,Tecnologia,4,4,4,4,363.4200,363.4200,ativo,1.00000000
21037,6,Maximarcas,A,Cauda Longa,2,3,2,3,2927.4000,2927.4000,ativo,1.00000000
21626,2,Borda Bordados Enxovais,A,Cauda Longa,96,110,73,85,11736.1100,8924.6100,ativo,0.76044021
21683,4,D S VENDAS,AAA,Cauda Longa,20,26,15,20,16072.5000,13029.6000,ativo,0.81067662
21712,3,Tommy Design,A,Móveis,9,9,5,5,10924.0000,2814.0000,ativo,0.25759795
21712,7,Tommy Design,A,Móveis,8,10,3,4,7381.0000,3824.0000,ativo,0.51808698
21821,2,Kai Store,A,Móveis,9,9,8,8,3972.0000,3538.0000,ativo,0.89073515
21914,3,RC BRASIL,A,Móveis,74,87,61,71,13028.5700,10839.2700,ativo,0.83196160
22065,3,Saúde Stock,A,Cauda Longa,6,12,6,12,836.3800,836.3800,ativo,1.00000000
22309,7,SCHRAIBER,A,Cauda Longa,1,1,1,1,52.7100,52.7100,ativo,1.00000000
22460,4,ENROLADO TECIDOS,A,Cauda Longa,24,31,17,22,1732.5000,1253.1000,ativo,0.72329004
22609,8,Qualita Refrigeracao,A,Linha Branca,1,1,1,1,42.7800,42.7800,ativo,1.00000000
22760,9,Shopsam,A,Cauda Longa,3,4,3,4,634.4500,634.4500,ativo,1.00000000
23071,1,IMPORTADOSSP,A,Cauda Longa,2,5,2,5,346.7700,346.7700,ativo,1.00000000
23423,2,Zulpy,A,Cauda Longa,20,23,17,20,2452.8700,2035.7000,ativo,0.82992576
23677,4,PARIS LUZ,A,Cauda Longa,29,42,23,36,7238.5400,5989.4300,ativo,0.82743620
23785,5,DSM Express,A,Cauda Longa,49,58,28,33,9774.6500,5026.9400,ativo,0.51428338
23849,3,Maio Móveis,AA,Móveis,84,86,64,66,38944.5600,30566.1800,ativo,0.78486392
23849,9,Maio Móveis,AA,Móveis,73,77,52,56,42149.3700,30630.6200,ativo,0.72671596
24031,6,FOGATTI,AAA,Linha Branca,206,212,157,163,187729.6600,138783.6100,ativo,0.73927375
