idlojista,idsku,lojista,cluster,mundo,idcompra,qtd_sku,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,taxa_aprovacao
10138,11488712,MegaMamute,AAA,Tecnologia,226924433,4,4,4,4,4,4544.4800,4544.4800,1.00000000
10138,1500375009,MegaMamute,AAA,Tecnologia,225526208,540,485,540,324,290,356837.0500,213188.5700,0.59743956
10138,1504533751,MegaMamute,AAA,Tecnologia,229694786,5,5,5,3,3,9253.2300,5539.0900,0.59861151
30976,7016986,10Estrela,AAA,Móveis,228775359,1,1,1,0,0,805.4200,0.0000,0E-8
30976,9009790,10Estrela,AAA,Móveis,229122323,1,1,1,1,1,349.9300,349.9300,1.00000000
30976,9676237,10Estrela,AAA,Móveis,229710317,4,4,4,4,4,424.0600,424.0600,1.00000000
30976,10864531,10Estrela,AAA,Móveis,226685875,1,1,1,1,1,180.6000,180.6000,1.00000000
30976,12698445,10Estrela,AAA,Móveis,229086865,5,5,5,3,3,1203.8500,750.0500,0.62304274
30976,12833306,10Estrela,AAA,Móveis,228084563,2,2,2,1,1,379.7500,178.8500,0.47096774
30976,12875075,10Estrela,AAA,Móveis,228193769,1,1,1,1,1,787.6100,787.6100,1.00000000
30976,13479459,10Estrela,AAA,Móveis,227161469,1,1,1,0,0,171.9000,0.0000,0E-8
30976,14071106,10Estrela,AAA,Móveis,226590650,1,1,1,1,1,1737.1600,1737.1600,1.00000000
30976,14964928,10Estrela,AAA,Móveis,225983102,18,18,18,17,17,9572.8400,9048.8800,0.94526598
30976,1500407872,10Estrela,AAA,Móveis,228867809,1,1,1,0,0,2039.9000,0.0000,0E-8
30976,1502733599,10Estrela,AAA,Móveis,226766258,1,1,1,1,1,296.3200,296.3200,1.00000000
30976,1503494510,10Estrela,AAA,Móveis,227905462,1,1,1,1,1,61.9000,61.9000,1.00000000
10138,13261957,MegaMamute,AAA,Tecnologia,227103175,8,8,8,5,5,9604.1400,6161.2000,0.64151501
30976,3840573,10Estrela,AAA,Móveis,226682944,7,6,7,6,5,699.6200,597.1300,0.85350619
30976,4998530,10Estrela,AAA,Móveis,226114848,1,1,1,1,1,155.9600,155.9600,1.00000000
30976,11753737,10Estrela,AAA,Móveis,225991705,1,1,1,0,0,575.6600,0.0000,0E-8
30976,12022711,10Estrela,AAA,Móveis,227343969,4,4,4,3,3,2810.5600,2095.6600,0.74563788
30976,1500512695,10Estrela,AAA,Móveis,226154821,1,1,1,0,0,1771.9900,0.0000,0E-8
30976,1501539223,10Estrela,AAA,Móveis,228043202,1,1,1,1,1,88.9500,88.9500,1.00000000
30976,1502959248,10Estrela,AAA,Móveis,226543275,1,1,1,0,0,103.9000,0.0000,0E-8
30976,1503350958,10Estrela,AAA,Móveis,229151888,5,1,5,0,0,3692.8000,0.0000,0E-8
30976,1503467313,10Estrela,AAA,Móveis,228835792,1,1,1,1,1,56.0600,56.0600,1.00000000
30976,1504014487,10Estrela,AAA,Móveis,226877936,4,4,4,2,2,5646.7100,2872.8400,0.50876351
30976,1504196983,10Estrela,AAA,Móveis,227542991,1,1,1,0,0,286.2100,0.0000,0E-8
10138,9991706,MegaMamute,AAA,Tecnologia,229420708,26,26,26,24,24,39193.6600,36204.8700,0.92374302
10138,1504847404,MegaMamute,AAA,Tecnologia,229535990,1,1,1,0,0,1640.0500,0.0000,0E-8
30976,19586,10Estrela,AAA,Móveis,227182315,1,1,1,1,1,69.1900,69.1900,1.00000000
30976,47273,10Estrela,AAA,Móveis,225666994,1,1,1,1,1,70.7100,70.7100,1.00000000
30976,451892,10Estrela,AAA,Móveis,225459049,7,2,7,3,1,219.1000,103.5000,0.47238704
