idlojista,DtCriacaoProtocolo,DtFechamentoProtocolo,QtProtocolo,VrTotalProtocolo,VrTotalProtocoloAbsoluto,QtProtocoloAberto,QtProtocoloFechado,QtProtocoloSemResposta24Horas,QtProtocoloSemResposta48Horas,QtProtocoloReclamacao,QtProtocoloAbertoReclamacao,VrTotalProtocoloReclamacao,VrTotalProtocoloReclamacaoAbsoluto,QtTotalRecontato,QtTotalCanalEspecial,QtTotalFilaMarketPlace,QtTotalFilaLojista,TxReclamacao,DhAtualizacao,year_partition,month_partition,day_partition
30976,2020-08-12,2020-09-18,1,-739.84,739.84,0,1,0,0,0,0,0,0,5,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,12
30976,2020-09-14,2020-09-21,4,496.81,1080.97,0,4,0,0,4,0,496.81,1080.97,3,0,2,1,1,2020-10-05T17:00:34.520+0000,2020,09,14
30976,2020-08-24,2020-09-17,1,312.33,312.33,0,1,0,0,0,0,0,0,4,0,1,0,0,2020-10-05T17:00:34.520+0000,2020,08,24
30976,2020-09-17,2020-09-27,3,-642.3,642.3,0,3,0,0,0,0,0,0,3,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,09,17
30976,2020-08-31,2020-09-27,1,-623.89,623.89,0,1,0,0,0,0,0,0,1,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,31
30976,2020-09-07,2020-09-17,3,1206.53,1206.53,0,3,0,0,2,0,1042.4,1042.4,4,0,3,0,0.6667,2020-10-05T17:00:34.520+0000,2020,09,07
30976,2020-09-12,2020-09-13,1,-105.63,105.63,0,1,0,0,1,0,-105.63,105.63,0,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,09,12
30976,2020-09-04,2020-09-09,2,252.09,252.09,0,2,0,0,1,0,48.9,48.9,0,0,2,0,0.5,2020-10-05T17:00:34.520+0000,2020,09,04
30976,2020-09-11,null,3,1001.34,1067.56,3,0,3,2,2,2,1034.45,1034.45,3,0,0,2,0.6667,2020-10-05T17:00:34.520+0000,2020,09,11
30976,2020-05-11,2020-09-25,1,-194.31,194.31,0,1,0,0,1,0,-194.31,194.31,7,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,05,11
30976,2020-08-27,2020-09-10,2,208.02,208.02,0,2,0,0,0,0,0,0,1,0,2,0,0,2020-10-05T17:00:34.520+0000,2020,08,27
30976,2020-09-01,2020-09-11,3,94.47,635.53,0,3,0,0,3,0,94.47,635.53,1,0,3,0,1,2020-10-05T17:00:34.520+0000,2020,09,01
30976,2020-07-08,2020-08-11,1,560.68,560.68,0,1,0,0,1,0,560.68,560.68,3,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,07,08
30976,2020-08-12,2020-09-09,2,613.59,613.59,0,2,0,0,2,0,613.59,613.59,5,0,2,0,1,2020-10-05T17:00:34.520+0000,2020,08,12
30976,2020-08-28,2020-09-01,6,587.07,1459.73,0,6,0,0,6,0,587.07,1459.73,3,0,2,2,1,2020-10-05T17:00:34.520+0000,2020,08,28
30976,2020-08-19,2020-09-05,4,1721.17,1721.17,0,4,0,0,3,0,1265.27,1265.27,6,0,3,0,0.75,2020-10-05T17:00:34.520+0000,2020,08,19
30976,2020-07-23,2020-09-18,2,-188.6,188.6,0,2,0,0,2,0,-188.6,188.6,21,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,23
30976,2020-08-28,2020-09-11,2,-345.22,575.5,0,2,0,0,1,0,115.14,115.14,2,0,0,0,0.5,2020-10-05T17:00:34.520+0000,2020,08,28
30976,2020-08-25,2020-09-11,4,-588.97,1839.23,0,4,0,0,1,0,-186.71,186.71,6,0,1,0,0.25,2020-10-05T17:00:34.520+0000,2020,08,25
30976,2020-09-15,2020-09-29,5,-2425.65,2425.65,0,5,0,0,0,0,0,0,4,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,09,15
30976,2020-09-16,2020-09-22,2,552.29,552.29,0,2,0,0,1,0,166.63,166.63,0,0,2,0,0.5,2020-10-05T17:00:34.520+0000,2020,09,16
30976,2020-09-08,2020-09-20,2,677.57,677.57,0,2,0,0,2,0,677.57,677.57,1,2,0,0,1,2020-10-05T17:00:34.520+0000,2020,09,08
30976,2020-07-24,2020-09-08,2,198.27,377.19,0,2,0,0,2,0,198.27,377.19,8,1,1,0,1,2020-10-05T17:00:34.520+0000,2020,07,24
30976,2020-08-29,2020-09-05,4,1050.23,1050.23,0,4,0,0,4,0,1050.23,1050.23,2,0,4,0,1,2020-10-05T17:00:34.520+0000,2020,08,29
30976,2020-08-31,2020-09-05,5,1728.09,1728.09,0,5,0,0,4,0,1166.25,1166.25,7,0,5,0,0.8,2020-10-05T17:00:34.520+0000,2020,08,31
30976,2020-08-27,2020-09-13,1,-78.71,78.71,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,27
30976,2020-08-26,2020-08-31,2,863.24,863.24,0,2,0,0,2,0,863.24,863.24,2,0,2,0,1,2020-10-05T17:00:34.520+0000,2020,08,26
30976,2020-09-15,2020-09-24,14,960.78,3334.74,0,14,0,0,10,0,1445.5,2623.5,8,0,10,0,0.7143,2020-10-05T17:00:34.520+0000,2020,09,15
30976,2020-09-11,2020-09-17,3,1682.23,1682.23,0,3,0,0,3,0,1682.23,1682.23,2,0,3,0,1,2020-10-05T17:00:34.520+0000,2020,09,11
30976,2020-08-18,2020-09-05,2,-56.04,833.76,0,2,0,0,1,0,-444.9,444.9,2,0,1,0,0.5,2020-10-05T17:00:34.520+0000,2020,08,18
30976,2020-08-27,2020-09-12,3,1772.84,1772.84,0,3,0,0,3,0,1772.84,1772.84,5,0,3,0,1,2020-10-05T17:00:34.520+0000,2020,08,27
30976,2020-08-20,2020-09-02,4,-4231.44,4446.2,0,4,0,0,0,0,0,0,2,0,1,0,0,2020-10-05T17:00:34.520+0000,2020,08,20
30976,2020-09-20,2020-09-30,1,147.68,147.68,0,1,0,0,0,0,0,0,1,0,1,0,0,2020-10-05T17:00:34.520+0000,2020,09,20
30976,2020-09-29,null,25,12896.65,12896.65,25,0,25,20,14,14,6848.59,6848.59,19,0,0,24,0.56,2020-10-05T17:00:34.520+0000,2020,09,29
30976,2020-07-13,2020-08-06,1,576.9,576.9,0,1,0,0,1,0,576.9,576.9,4,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,07,13
30976,2020-09-04,2020-09-13,1,-477.92,477.92,0,1,0,0,1,0,-477.92,477.92,0,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,09,04
30976,2020-09-03,2020-09-21,6,3153.52,3153.52,0,6,0,0,1,0,273.94,273.94,12,0,6,0,0.1667,2020-10-05T17:00:34.520+0000,2020,09,03
30976,2020-09-09,2020-09-25,4,1770.98,1997.72,0,4,0,0,3,0,1884.35,1884.35,4,1,3,0,0.75,2020-10-05T17:00:34.520+0000,2020,09,09
30976,2020-08-28,2020-09-02,2,83.69,220.75,0,2,0,0,2,0,83.69,220.75,1,0,0,1,1,2020-10-05T17:00:34.520+0000,2020,08,28
30976,2020-09-23,2020-09-29,7,1130.84,2794.52,0,7,0,0,4,0,1516.05,1516.05,2,1,4,2,0.5714,2020-10-05T17:00:34.520+0000,2020,09,23
30976,2020-09-05,2020-09-15,1,287.8,287.8,0,1,0,0,1,0,287.8,287.8,2,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,09,05
30976,2020-09-04,2020-09-19,4,959.34,1364.3,0,4,0,0,3,0,543.54,948.5,6,0,3,0,0.75,2020-10-05T17:00:34.520+0000,2020,09,04
30976,2020-08-25,2020-09-02,11,-4311.4,4394.32,0,11,0,0,5,0,-1897.18,1980.1,4,0,1,0,0.4545,2020-10-05T17:00:34.520+0000,2020,08,25
