idcompra
228204521
226669835
227208076
228038931
225381004
227203450
227340802
226659363
227741401
225709703
227203439
225858379
228666613
227741875
229475726
229475775
226673806
229128754
226423678
229558320
228695757
227740249
228794991
225492989
226397873
227053932
225691071
228186037
229197101
228325992
225469034
225469037
226659090
226180127
229196475
228443261
226181206
226397878
228039413
229195649
228310504
226397876
227585374
225858418
228807531
225493199
225486075
229558141
227203447
227207207
228443262
227384120
226673417
225546927
228039419
229558728
227514325
225487140
225691073
