idlojista,DtPedidoVenda,dataprometida,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_pedidos_aprovados,qtd_itens_aprovados,valorcolocado,valoraprovado,status_lojista,qtd_pedidos_atrasados_envio,valor_pedidos_atrasados_envio,qtd_pedidos_atraso_entrega,valor_pedidos_atraso_entrega,qtd_itens_no_prazo,qtd_itens_risco_atraso,qtd_itens_altorisco_atraso,qtd_itens_enviados,qtd_itens_entregues,qtd_itens_cancelados,qtd_itens_devolvidos,qtd_sku_distinto,qtd_sku,taxa_aprovacao
10138,2020-08-11,2020-08-26,MegaMamute,AAA,Tecnologia,18,21,10,10,32394.8700,18776.6300,ativo,0,0.0000,0,0.0000,0,0,0,0,9,1,0,13,21,0.57961739
30976,2020-08-05,2020-08-28,10Estrela,AAA,Móveis,6,6,3,3,1905.7100,883.4900,ativo,0,0.0000,1,213.5700,0,0,0,1,2,0,0,6,6,0.46360149
30976,2020-08-13,2020-10-01,10Estrela,AAA,Móveis,2,2,2,2,358.0400,358.0400,ativo,0,0.0000,0,0.0000,0,2,0,0,0,0,0,1,2,1.00000000
30976,2020-08-15,2020-10-30,10Estrela,AAA,Móveis,4,4,3,3,1632.6800,1224.5100,ativo,0,0.0000,0,0.0000,0,0,0,0,3,0,0,1,4,0.75000000
30976,2020-08-17,2020-10-06,10Estrela,AAA,Móveis,2,2,2,2,1112.4300,1112.4300,ativo,0,0.0000,0,0.0000,2,0,0,0,0,0,0,2,2,1.00000000
30976,2020-08-17,2020-11-17,10Estrela,AAA,Móveis,2,2,1,1,927.8800,463.9400,ativo,0,0.0000,0,0.0000,1,0,0,1,0,0,0,1,2,0.50000000
30976,2020-08-19,2020-09-09,10Estrela,AAA,Móveis,13,13,10,10,6378.1100,5169.2000,ativo,0,0.0000,1,199.2900,0,0,0,1,9,0,0,13,13,0.81045952
10138,2020-08-02,2020-08-06,MegaMamute,AAA,Tecnologia,19,19,13,13,19554.1000,12294.7000,ativo,0,0.0000,4,3605.6000,0,0,0,0,12,1,0,7,19,0.62875305
10138,2020-08-21,2020-09-02,MegaMamute,AAA,Tecnologia,8,8,5,5,11050.7800,6510.3400,ativo,0,0.0000,1,2789.0600,0,0,0,0,5,0,0,7,8,0.58912946
30976,2020-08-07,2020-11-06,10Estrela,AAA,Móveis,1,1,1,1,466.1500,466.1500,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-10,2020-09-07,10Estrela,AAA,Móveis,16,17,13,13,7217.5900,6570.6200,ativo,0,0.0000,1,1068.2900,0,0,0,1,12,0,0,13,17,0.91036205
30976,2020-08-19,2020-10-06,10Estrela,AAA,Móveis,3,3,2,2,1024.1800,177.2100,ativo,0,0.0000,0,0.0000,2,0,0,1,0,0,0,3,3,0.17302623
30976,2020-08-29,2020-09-11,10Estrela,AAA,Móveis,16,16,13,13,4366.7900,3805.6500,ativo,0,0.0000,0,0.0000,0,0,3,3,10,0,0,12,16,0.87149829
10138,2020-08-01,2020-08-14,MegaMamute,AAA,Tecnologia,7,7,3,3,5412.6200,2374.6000,ativo,0,0.0000,0,0.0000,0,0,0,0,3,0,0,4,7,0.43871545
10138,2020-08-08,2020-08-18,MegaMamute,AAA,Tecnologia,239,246,143,149,314110.4700,178136.1600,ativo,0,0.0000,17,27889.8300,0,0,0,1,141,7,0,59,246,0.56711309
10138,2020-08-16,2020-09-08,MegaMamute,AAA,Tecnologia,2,3,2,3,2128.5600,2128.5600,ativo,0,0.0000,1,722.6900,0,0,0,2,1,0,0,2,3,1.00000000
10138,2020-08-26,2020-09-02,MegaMamute,AAA,Tecnologia,1,1,1,1,1804.9000,1804.9000,ativo,0,0.0000,1,1804.9000,0,0,0,1,0,0,0,1,1,1.00000000
10138,2020-08-26,2020-09-09,MegaMamute,AAA,Tecnologia,33,35,21,23,44062.9600,28261.3300,ativo,1,1585.6700,1,1585.6700,0,0,0,0,22,0,0,12,35,0.64138519
10138,2020-08-29,2020-09-11,MegaMamute,AAA,Tecnologia,51,54,18,19,73457.0300,23753.7100,ativo,0,0.0000,0,0.0000,0,0,6,4,12,1,0,21,54,0.32336878
30976,2020-08-01,2020-08-17,10Estrela,AAA,Móveis,9,9,7,7,1545.3800,756.9300,ativo,1,165.2300,1,165.2300,0,0,0,0,6,0,0,7,9,0.48980186
30976,2020-08-04,2020-09-09,10Estrela,AAA,Móveis,1,1,1,1,909.3500,909.3500,ativo,0,0.0000,1,909.3500,0,0,0,1,0,0,0,1,1,1.00000000
30976,2020-08-07,2020-09-09,10Estrela,AAA,Móveis,2,2,0,0,333.2200,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,2,0E-8
30976,2020-08-08,2020-08-26,10Estrela,AAA,Móveis,14,16,9,9,3763.1300,1860.6300,ativo,0,0.0000,0,0.0000,0,0,0,0,9,0,0,13,16,0.49443681
30976,2020-08-09,2020-09-08,10Estrela,AAA,Móveis,18,19,17,18,5401.9300,5207.0300,ativo,0,0.0000,1,314.9000,0,0,0,1,17,0,0,17,19,0.96392030
30976,2020-08-10,2020-09-24,10Estrela,AAA,Móveis,3,3,2,2,3065.5500,1495.5400,ativo,0,0.0000,0,0.0000,0,0,0,0,1,1,0,3,3,0.48785373
30976,2020-08-17,2020-09-07,10Estrela,AAA,Móveis,11,11,7,7,4126.8100,3384.2100,ativo,1,352.8200,1,352.8200,0,0,0,0,5,1,0,10,11,0.82005472
30976,2020-08-17,2020-09-21,10Estrela,AAA,Móveis,2,2,1,1,190.0800,145.7100,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,2,2,0.76657197
30976,2020-08-18,2020-09-09,10Estrela,AAA,Móveis,7,7,5,5,3561.4300,2882.7200,ativo,0,0.0000,2,492.7000,0,0,0,2,3,0,0,7,7,0.80942767
10138,2020-08-04,2020-08-19,MegaMamute,AAA,Tecnologia,18,20,8,9,22246.3200,10307.3700,ativo,0,0.0000,0,0.0000,0,0,0,0,7,2,0,12,20,0.46332922
10138,2020-08-06,2020-08-20,MegaMamute,AAA,Tecnologia,22,22,7,7,21523.4300,5084.1200,ativo,0,0.0000,0,0.0000,0,0,0,0,7,0,0,11,22,0.23621328
10138,2020-08-17,2020-08-21,MegaMamute,AAA,Tecnologia,2,2,1,1,1442.9100,724.7800,ativo,0,0.0000,1,724.7800,0,0,0,0,1,0,0,1,2,0.50230437
30976,2020-08-04,2020-08-26,10Estrela,AAA,Móveis,16,16,11,11,6570.6800,4809.3000,ativo,0,0.0000,3,990.4600,0,0,0,3,8,0,0,15,16,0.73193338
30976,2020-08-08,2020-09-04,10Estrela,AAA,Móveis,10,10,10,10,3497.7500,3497.7500,ativo,0,0.0000,0,0.0000,0,0,0,0,9,1,0,9,10,1.00000000
30976,2020-08-19,2020-09-03,10Estrela,AAA,Móveis,25,25,15,15,8926.1500,5500.2500,ativo,2,957.4300,3,1159.6100,0,0,0,1,12,0,0,22,25,0.61619511
30976,2020-08-19,2020-10-08,10Estrela,AAA,Móveis,2,2,1,1,1157.6800,912.5700,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,2,2,0.78827483
30976,2020-08-31,2020-11-02,10Estrela,AAA,Móveis,2,2,1,1,597.7100,166.1900,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,2,2,0.27804454
10138,2020-08-11,2020-08-27,MegaMamute,AAA,Tecnologia,33,33,21,21,35374.7900,20812.6200,ativo,0,0.0000,0,0.0000,0,0,0,0,20,1,0,18,33,0.58834611
30976,2020-08-02,2020-08-24,10Estrela,AAA,Móveis,21,21,9,9,10655.4900,4487.3900,ativo,0,0.0000,1,778.6000,0,0,0,1,8,0,0,15,21,0.42113408
30976,2020-08-05,2020-08-26,10Estrela,AAA,Móveis,40,45,30,30,16767.8700,11689.5800,ativo,0,0.0000,3,1237.3100,0,0,0,1,26,3,0,34,45,0.69714162
30976,2020-08-09,2020-10-13,10Estrela,AAA,Móveis,1,1,1,1,86.9000,86.9000,ativo,0,0.0000,0,0.0000,1,0,0,1,0,0,0,1,1,1.00000000
30976,2020-08-18,2020-09-21,10Estrela,AAA,Móveis,4,4,3,3,985.9300,872.9500,ativo,0,0.0000,0,0.0000,0,2,0,1,1,0,0,4,4,0.88540769
30976,2020-08-26,2020-09-30,10Estrela,AAA,Móveis,3,3,2,2,625.3400,573.0400,ativo,0,0.0000,0,0.0000,1,0,0,1,0,1,0,3,3,0.91636550
10138,2020-08-08,2020-08-19,MegaMamute,AAA,Tecnologia,9,9,6,6,9600.6800,5501.8500,ativo,0,0.0000,1,182.1400,0,0,0,0,6,0,0,7,9,0.57306878
10138,2020-08-08,2020-08-31,MegaMamute,AAA,Tecnologia,1,1,0,0,2068.4400,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
10138,2020-08-13,2020-08-24,MegaMamute,AAA,Tecnologia,207,235,113,134,280815.9600,154006.2500,ativo,1,658.1900,13,15748.1900,0,0,0,5,123,5,0,58,235,0.54842414
10138,2020-08-27,2020-09-16,MegaMamute,AAA,Tecnologia,8,8,5,5,14369.3800,10393.9800,ativo,0,0.0000,0,0.0000,0,0,0,0,5,0,0,6,8,0.72334227
30976,2020-08-05,2020-09-09,10Estrela,AAA,Móveis,7,7,5,5,2434.1900,1770.9900,ativo,0,0.0000,0,0.0000,0,0,0,0,5,0,0,5,7,0.72754797
30976,2020-08-07,2020-11-09,10Estrela,AAA,Móveis,1,1,1,1,429.7200,429.7200,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-12,2020-09-15,10Estrela,AAA,Móveis,2,2,2,2,1979.3800,1979.3800,ativo,0,0.0000,0,0.0000,0,0,2,2,0,0,0,2,2,1.00000000
30976,2020-08-17,2020-09-04,10Estrela,AAA,Móveis,9,9,7,7,6824.7200,2455.6200,ativo,0,0.0000,0,0.0000,0,0,0,0,7,0,0,9,9,0.35981256
30976,2020-08-31,2020-10-15,10Estrela,AAA,Móveis,1,1,1,1,140.8500,140.8500,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
10138,2020-08-02,2020-09-03,MegaMamute,AAA,Tecnologia,2,2,1,1,903.1400,451.5700,ativo,0,0.0000,0,0.0000,0,0,0,0,0,1,0,1,2,0.50000000
10138,2020-08-24,2020-09-15,MegaMamute,AAA,Tecnologia,7,7,1,1,9046.8700,1717.9000,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,4,7,0.18988888
30976,2020-08-01,2020-08-19,10Estrela,AAA,Móveis,19,20,14,15,4018.5900,3252.4000,ativo,1,77.5400,3,1410.9600,0,0,0,1,13,0,0,17,20,0.80933860
30976,2020-08-02,2020-09-30,10Estrela,AAA,Móveis,1,1,1,1,178.8600,178.8600,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-15,2020-09-11,10Estrela,AAA,Móveis,9,10,8,9,3106.3300,2916.8800,ativo,0,0.0000,0,0.0000,0,0,5,5,4,0,0,8,10,0.93901163
30976,2020-08-17,2020-09-09,10Estrela,AAA,Móveis,21,21,13,13,7591.1500,4004.2600,ativo,3,1071.6300,5,1317.0300,0,0,0,2,8,0,0,19,21,0.52749056
30976,2020-08-19,2020-11-10,10Estrela,AAA,Móveis,2,2,2,2,2177.2400,2177.2400,ativo,0,0.0000,0,0.0000,0,0,0,0,2,0,0,2,2,1.00000000
30976,2020-08-27,2020-09-16,10Estrela,AAA,Móveis,9,13,6,6,11606.1000,6157.7200,ativo,0,0.0000,0,0.0000,0,1,0,0,5,0,0,9,13,0.53055893
30976,2020-08-28,2020-09-09,10Estrela,AAA,Móveis,26,27,23,24,6745.1600,6091.1700,ativo,2,985.6200,5,1691.7500,0,0,0,3,19,0,0,23,27,0.90304307
10138,2020-08-08,2020-08-21,MegaMamute,AAA,Tecnologia,23,24,15,16,25336.4900,17136.4200,ativo,0,0.0000,0,0.0000,0,0,0,0,14,2,0,7,24,0.67635335
10138,2020-08-17,2020-08-26,MegaMamute,AAA,Tecnologia,257,274,158,165,332135.3200,196501.1800,ativo,1,1759.3800,42,48531.3600,0,0,0,9,153,2,0,49,274,0.59162988
10138,2020-08-24,2020-09-18,MegaMamute,AAA,Tecnologia,8,8,2,2,13402.7900,2093.5400,ativo,0,0.0000,0,0.0000,0,1,0,1,1,0,0,7,8,0.15620181
30976,2020-08-04,2020-08-27,10Estrela,AAA,Móveis,10,10,9,9,5238.5400,4962.2400,ativo,0,0.0000,2,727.0600,0,0,0,1,7,1,0,10,10,0.94725630
30976,2020-08-07,2020-09-29,10Estrela,AAA,Móveis,2,2,1,1,2968.6600,244.6500,ativo,0,0.0000,0,0.0000,0,1,0,1,0,0,0,2,2,0.08241092
30976,2020-08-22,2020-09-07,10Estrela,AAA,Móveis,24,25,19,19,9224.9700,6583.6600,ativo,2,234.2600,6,1769.9600,0,0,0,3,14,0,0,22,25,0.71367820
30976,2020-08-25,2020-11-05,10Estrela,AAA,Móveis,2,2,2,2,175.3200,175.3200,ativo,0,0.0000,0,0.0000,1,0,0,0,1,0,0,2,2,1.00000000
30976,2020-08-29,2020-09-10,10Estrela,AAA,Móveis,25,26,21,22,6887.0600,5668.0700,ativo,0,0.0000,0,0.0000,0,0,10,8,12,0,0,24,26,0.82300285
30976,2020-08-29,2020-09-14,10Estrela,AAA,Móveis,23,24,17,18,9230.5300,6436.9600,ativo,0,0.0000,0,0.0000,0,6,0,5,12,0,0,21,24,0.69735541
30976,2020-08-30,2020-09-10,10Estrela,AAA,Móveis,44,47,41,44,16792.8800,14933.5000,ativo,0,0.0000,0,0.0000,0,0,9,5,35,0,0,33,47,0.88927569
30976,2020-08-30,2020-10-07,10Estrela,AAA,Móveis,1,1,0,0,793.2000,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
10138,2020-08-02,2020-08-13,MegaMamute,AAA,Tecnologia,5,5,3,3,8616.2200,4158.0100,ativo,0,0.0000,1,2915.4000,0,0,0,0,2,1,0,4,5,0.48257937
10138,2020-08-05,2020-08-19,MegaMamute,AAA,Tecnologia,18,18,11,11,16773.5800,10342.9600,ativo,0,0.0000,0,0.0000,0,0,0,0,10,1,0,11,18,0.61662209
10138,2020-08-13,2020-09-04,MegaMamute,AAA,Tecnologia,1,1,1,1,1454.1900,1454.1900,ativo,0,0.0000,1,1454.1900,0,0,0,1,0,0,0,1,1,1.00000000
10138,2020-08-14,2020-09-02,MegaMamute,AAA,Tecnologia,13,13,6,6,12833.3200,5976.3500,ativo,0,0.0000,0,0.0000,0,0,0,0,6,0,0,7,13,0.46569009
10138,2020-08-31,2020-10-02,MegaMamute,AAA,Tecnologia,1,1,1,1,1433.5600,1433.5600,ativo,0,0.0000,0,0.0000,1,0,0,1,0,0,0,1,1,1.00000000
30976,2020-08-06,2020-08-25,10Estrela,AAA,Móveis,38,39,28,29,7979.9900,6441.2400,ativo,0,0.0000,1,92.4400,0,0,0,1,28,0,0,29,39,0.80717394
30976,2020-08-08,2020-09-28,10Estrela,AAA,Móveis,1,1,1,1,683.4100,683.4100,ativo,0,0.0000,0,0.0000,0,1,0,0,0,0,0,1,1,1.00000000
30976,2020-08-10,2020-09-18,10Estrela,AAA,Móveis,2,2,1,1,205.0500,123.7500,ativo,0,0.0000,0,0.0000,0,0,1,1,0,0,0,2,2,0.60351134
30976,2020-08-19,2020-09-24,10Estrela,AAA,Móveis,3,3,2,2,456.6400,307.4400,ativo,0,0.0000,0,0.0000,0,2,0,2,0,0,0,3,3,0.67326559
30976,2020-08-26,2020-10-27,10Estrela,AAA,Móveis,2,2,1,1,689.4400,166.4500,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,2,2,0.24142783
30976,2020-08-30,2020-09-28,10Estrela,AAA,Móveis,3,3,3,3,2829.3000,2829.3000,ativo,0,0.0000,0,0.0000,3,0,0,3,0,0,0,3,3,1.00000000
10138,2020-08-05,2020-08-14,MegaMamute,AAA,Tecnologia,266,296,170,183,384092.1100,230037.3800,ativo,11,14628.3000,24,34204.3000,0,0,0,4,134,34,0,62,296,0.59891202
10138,2020-08-05,2020-08-26,MegaMamute,AAA,Tecnologia,14,15,9,9,13755.2300,8562.8700,ativo,0,0.0000,0,0.0000,0,0,0,0,8,1,0,9,15,0.62251740
10138,2020-08-12,2020-09-02,MegaMamute,AAA,Tecnologia,3,3,0,0,2666.7900,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,2,3,0E-8
10138,2020-08-19,2020-08-28,MegaMamute,AAA,Tecnologia,215,231,132,139,304508.2400,179893.9500,ativo,0,0.0000,28,40802.5500,0,0,0,9,124,6,0,48,231,0.59076874
10138,2020-08-21,2020-09-09,MegaMamute,AAA,Tecnologia,19,22,8,9,21665.6800,10590.3500,ativo,0,0.0000,1,1926.7400,0,0,0,1,8,0,0,11,22,0.48880764
30976,2020-08-05,2020-08-19,10Estrela,AAA,Móveis,5,5,4,4,1336.1200,1040.7000,ativo,0,0.0000,0,0.0000,0,0,0,0,4,0,0,5,5,0.77889711
30976,2020-08-06,2020-09-28,10Estrela,AAA,Móveis,3,3,3,3,1887.1600,1887.1600,ativo,0,0.0000,0,0.0000,0,1,0,1,2,0,0,3,3,1.00000000
30976,2020-08-12,2020-11-11,10Estrela,AAA,Móveis,8,8,8,8,4029.4100,4029.4100,ativo,0,0.0000,0,0.0000,2,0,0,2,5,1,0,2,8,1.00000000
30976,2020-08-13,2020-11-10,10Estrela,AAA,Móveis,1,1,1,1,474.9000,474.9000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,1,0,1,1,1.00000000
30976,2020-08-16,2020-10-02,10Estrela,AAA,Móveis,2,2,0,0,759.2900,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,2,2,0E-8
30976,2020-08-18,2020-09-04,10Estrela,AAA,Móveis,7,7,5,5,3656.8300,2863.5900,ativo,0,0.0000,1,207.4100,0,0,0,1,4,0,0,6,7,0.78307988
30976,2020-08-26,2020-10-06,10Estrela,AAA,Móveis,2,2,1,1,584.1500,286.9000,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,2,2,0.49114097
30976,2020-08-29,2020-10-29,10Estrela,AAA,Móveis,1,1,1,1,195.0600,195.0600,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
10138,2020-08-09,2020-08-25,MegaMamute,AAA,Tecnologia,24,26,11,12,23451.2100,8996.7300,ativo,0,0.0000,0,0.0000,0,0,0,0,9,3,0,8,26,0.38363607
10138,2020-08-16,2020-08-31,MegaMamute,AAA,Tecnologia,8,8,4,4,10719.5700,4262.9600,ativo,0,0.0000,1,1545.6000,0,0,0,1,3,0,0,8,8,0.39768013
10138,2020-08-27,2020-10-07,MegaMamute,AAA,Tecnologia,2,2,1,1,557.8000,278.9000,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,2,0.50000000
30976,2020-08-07,2020-10-09,10Estrela,AAA,Móveis,1,1,1,1,162.9000,162.9000,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-09,2020-09-22,10Estrela,AAA,Móveis,4,4,1,1,1223.9400,285.4300,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,2,4,0.23320588
30976,2020-08-09,2020-09-28,10Estrela,AAA,Móveis,1,1,1,1,162.0800,162.0800,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-11,2020-09-10,10Estrela,AAA,Móveis,24,25,14,14,10864.1900,6385.5700,ativo,0,0.0000,0,0.0000,0,0,0,0,13,1,0,21,25,0.58776310
30976,2020-08-13,2020-08-21,10Estrela,AAA,Móveis,13,14,9,10,2651.5100,2397.4600,ativo,0,0.0000,1,156.9600,0,0,0,1,9,0,0,10,14,0.90418667
30976,2020-08-17,2020-09-30,10Estrela,AAA,Móveis,1,1,1,1,552.9900,552.9900,ativo,0,0.0000,0,0.0000,0,1,0,0,0,0,0,1,1,1.00000000
30976,2020-08-21,2020-10-14,10Estrela,AAA,Móveis,3,3,0,0,962.5400,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,3,3,0E-8
30976,2020-08-22,2020-11-20,10Estrela,AAA,Móveis,1,1,1,1,461.0300,461.0300,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-23,2020-09-18,10Estrela,AAA,Móveis,3,3,3,3,803.6200,803.6200,ativo,0,0.0000,0,0.0000,0,2,0,2,1,0,0,3,3,1.00000000
30976,2020-08-24,2020-09-01,10Estrela,AAA,Móveis,7,9,7,9,1813.8900,1813.8900,ativo,0,0.0000,0,0.0000,0,0,0,1,8,0,0,7,9,1.00000000
30976,2020-08-28,2020-10-09,10Estrela,AAA,Móveis,1,1,0,0,971.9000,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
10138,2020-08-17,2020-08-28,MegaMamute,AAA,Tecnologia,6,6,4,4,6721.0100,4221.0200,ativo,0,0.0000,0,0.0000,0,0,0,0,4,0,0,5,6,0.62803358
10138,2020-08-20,2020-09-24,MegaMamute,AAA,Tecnologia,1,1,1,1,151.9900,151.9900,ativo,0,0.0000,0,0.0000,0,0,0,0,0,1,0,1,1,1.00000000
10138,2020-08-22,2020-08-28,MegaMamute,AAA,Tecnologia,5,5,4,4,10533.6100,8134.6100,ativo,0,0.0000,1,1531.7100,0,0,0,0,4,0,0,3,5,0.77225282
10138,2020-08-31,2020-09-04,MegaMamute,AAA,Tecnologia,1,1,0,0,751.7900,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
10138,2020-08-31,2020-09-10,MegaMamute,AAA,Tecnologia,58,60,35,35,91178.1400,57595.1400,ativo,0,0.0000,0,0.0000,0,0,17,17,18,0,0,22,60,0.63167707
30976,2020-08-06,2020-10-09,10Estrela,AAA,Móveis,1,1,1,1,163.0900,163.0900,ativo,0,0.0000,0,0.0000,0,1,0,0,0,0,0,1,1,1.00000000
30976,2020-08-18,2020-09-16,10Estrela,AAA,Móveis,3,3,3,3,1048.6500,1048.6500,ativo,0,0.0000,0,0.0000,0,0,1,1,2,0,0,3,3,1.00000000
30976,2020-08-21,2020-09-23,10Estrela,AAA,Móveis,2,2,1,1,189.6600,119.3300,ativo,0,0.0000,0,0.0000,0,1,0,1,0,0,0,2,2,0.62917853
10138,2020-08-14,2020-09-07,MegaMamute,AAA,Tecnologia,1,1,1,1,1282.2200,1282.2200,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
10138,2020-08-24,2020-09-10,MegaMamute,AAA,Tecnologia,27,27,9,9,44717.7200,14729.3400,ativo,0,0.0000,0,0.0000,0,0,2,2,7,0,0,12,27,0.32938486
10138,2020-08-26,2020-09-16,MegaMamute,AAA,Tecnologia,8,8,5,5,13340.0200,8062.4400,ativo,0,0.0000,0,0.0000,0,3,0,3,2,0,0,8,8,0.60437990
30976,2020-08-10,2020-10-13,10Estrela,AAA,Móveis,2,2,2,2,728.6200,728.6200,ativo,0,0.0000,0,0.0000,2,0,0,0,0,0,0,2,2,1.00000000
30976,2020-08-16,2020-11-04,10Estrela,AAA,Móveis,1,1,1,1,419.0300,419.0300,ativo,0,0.0000,0,0.0000,0,0,0,0,0,1,0,1,1,1.00000000
30976,2020-08-17,2020-09-18,10Estrela,AAA,Móveis,3,3,3,3,2634.1700,2634.1700,ativo,0,0.0000,0,0.0000,0,0,0,0,3,0,0,3,3,1.00000000
30976,2020-08-22,2020-10-09,10Estrela,AAA,Móveis,1,1,1,1,338.5900,338.5900,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-31,2020-10-02,10Estrela,AAA,Móveis,1,1,1,1,149.2400,149.2400,ativo,0,0.0000,0,0.0000,1,0,0,1,0,0,0,1,1,1.00000000
10138,2020-08-05,2020-08-21,MegaMamute,AAA,Tecnologia,10,10,6,6,11447.2400,6887.3500,ativo,0,0.0000,0,0.0000,0,0,0,0,6,0,0,9,10,0.60166031
10138,2020-08-06,2020-08-27,MegaMamute,AAA,Tecnologia,3,3,0,0,2657.6700,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,2,3,0E-8
10138,2020-08-19,2020-09-23,MegaMamute,AAA,Tecnologia,1,1,1,1,253.6400,253.6400,ativo,0,0.0000,0,0.0000,0,1,0,0,0,0,0,1,1,1.00000000
30976,2020-08-01,2020-09-23,10Estrela,AAA,Móveis,1,1,1,1,286.7600,286.7600,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-13,2020-08-24,10Estrela,AAA,Móveis,44,45,41,42,12743.4100,11410.1500,ativo,0,0.0000,7,1601.1100,0,0,0,4,38,0,0,34,45,0.89537651
30976,2020-08-23,2020-10-09,10Estrela,AAA,Móveis,1,1,1,1,275.8800,275.8800,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
30976,2020-08-26,2020-11-06,10Estrela,AAA,Móveis,1,1,1,1,834.1100,834.1100,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
30976,2020-08-04,2020-09-30,10Estrela,AAA,Móveis,1,1,1,1,88.9000,88.9000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,1,0,1,1,1.00000000
30976,2020-08-05,2020-09-11,10Estrela,AAA,Móveis,1,1,0,0,559.8900,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-07,2020-08-24,10Estrela,AAA,Móveis,36,37,25,25,6112.1800,4266.6500,ativo,0,0.0000,6,1062.0500,0,0,0,4,20,1,0,26,37,0.69805699
30976,2020-08-08,2020-09-30,10Estrela,AAA,Móveis,1,1,1,1,288.2100,288.2100,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-11,2020-09-23,10Estrela,AAA,Móveis,3,4,1,1,1137.1400,234.4400,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,3,4,0.20616635
30976,2020-08-15,2020-09-18,10Estrela,AAA,Móveis,1,1,1,1,92.7500,92.7500,ativo,0,0.0000,0,0.0000,0,1,0,1,0,0,0,1,1,1.00000000
30976,2020-08-16,2020-09-08,10Estrela,AAA,Móveis,14,14,11,11,5010.0800,4059.6900,ativo,1,351.2100,3,1302.4700,0,0,0,2,8,0,0,13,14,0.81030443
30976,2020-08-21,2020-08-31,10Estrela,AAA,Móveis,4,4,4,4,1577.7400,1577.7400,ativo,0,0.0000,0,0.0000,0,0,0,0,3,1,0,4,4,1.00000000
30976,2020-08-29,2020-09-18,10Estrela,AAA,Móveis,7,7,5,5,5469.2400,3847.1800,ativo,0,0.0000,0,0.0000,0,5,0,5,0,0,0,7,7,0.70342132
30976,2020-08-30,2020-10-20,10Estrela,AAA,Móveis,1,1,0,0,1223.4900,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
10138,2020-08-19,2020-09-01,MegaMamute,AAA,Tecnologia,12,13,6,6,16499.0800,7191.2400,ativo,0,0.0000,1,1529.0300,0,0,0,0,6,0,0,7,13,0.43585703
10138,2020-08-19,2020-09-14,MegaMamute,AAA,Tecnologia,1,1,1,1,1717.9000,1717.9000,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
10138,2020-08-30,2020-09-22,MegaMamute,AAA,Tecnologia,2,2,1,1,4216.1200,2844.5400,ativo,0,0.0000,0,0.0000,1,0,0,1,0,0,0,2,2,0.67468194
