idlojista,DtPedidoVenda,dataprometida,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_pedidos_aprovados,qtd_itens_aprovados,valorcolocado,valoraprovado,status_lojista,qtd_pedidos_atrasados_envio,valor_pedidos_atrasados_envio,qtd_pedidos_atraso_entrega,valor_pedidos_atraso_entrega,qtd_itens_no_prazo,qtd_itens_risco_atraso,qtd_itens_altorisco_atraso,qtd_itens_enviados,qtd_itens_entregues,qtd_itens_cancelados,qtd_itens_devolvidos,qtd_sku_distinto,qtd_sku,taxa_aprovacao
30976,2020-08-26,2020-11-20,10Estrela,AAA,Móveis,1,1,0,0,536.9600,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-31,2020-11-16,10Estrela,AAA,Móveis,3,3,1,1,1025.9900,491.2800,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,3,3,0.47883508
10138,2020-08-11,2020-09-01,MegaMamute,AAA,Tecnologia,11,11,5,5,12357.7900,4644.4200,ativo,0,0.0000,0,0.0000,0,0,0,0,5,0,0,11,11,0.37582934
10138,2020-08-31,2020-09-16,MegaMamute,AAA,Tecnologia,25,26,16,17,40194.0200,24356.3800,ativo,0,0.0000,0,0.0000,0,12,0,12,5,0,0,16,26,0.60597024
30976,2020-08-12,2020-11-24,10Estrela,AAA,Móveis,1,1,1,1,594.6500,594.6500,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
30976,2020-08-14,2020-11-10,10Estrela,AAA,Móveis,1,1,1,1,466.1500,466.1500,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-20,2020-11-10,10Estrela,AAA,Móveis,1,1,1,1,112.9000,112.9000,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
30976,2020-08-24,2020-09-28,10Estrela,AAA,Móveis,3,4,2,2,644.6800,501.1600,ativo,0,0.0000,0,0.0000,2,0,0,2,0,0,0,3,4,0.77737792
30976,2020-08-28,2020-10-07,10Estrela,AAA,Móveis,2,2,2,2,487.1400,487.1400,ativo,0,0.0000,0,0.0000,2,0,0,2,0,0,0,2,2,1.00000000
10138,2020-08-02,2020-08-12,MegaMamute,AAA,Tecnologia,60,69,39,45,83245.6800,55886.6000,ativo,0,0.0000,9,7908.0800,0,0,0,1,40,4,0,25,69,0.67134535
10138,2020-08-10,2020-09-03,MegaMamute,AAA,Tecnologia,1,1,0,0,999.8100,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
10138,2020-08-18,2020-09-16,MegaMamute,AAA,Tecnologia,1,1,1,1,772.6700,772.6700,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
10138,2020-08-20,2020-09-01,MegaMamute,AAA,Tecnologia,87,90,44,44,123297.4800,58751.3000,ativo,0,0.0000,11,15091.6900,0,0,0,6,36,2,0,29,90,0.47650041
30976,2020-08-02,2020-09-28,10Estrela,AAA,Móveis,1,1,0,0,131.4400,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-10,2020-08-26,10Estrela,AAA,Móveis,55,61,39,39,16798.4900,8060.1100,ativo,0,0.0000,3,585.1900,0,0,0,1,37,1,0,40,61,0.47981158
30976,2020-08-12,2020-09-29,10Estrela,AAA,Móveis,2,2,0,0,297.2100,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,2,2,0E-8
30976,2020-08-13,2020-09-15,10Estrela,AAA,Móveis,6,7,5,6,2078.7900,1590.8100,ativo,0,0.0000,0,0.0000,0,0,1,1,3,2,0,6,7,0.76525767
30976,2020-08-14,2020-09-18,10Estrela,AAA,Móveis,5,5,4,4,2250.6400,1696.3900,ativo,0,0.0000,0,0.0000,0,0,2,1,2,0,0,5,5,0.75373671
30976,2020-08-20,2020-09-11,10Estrela,AAA,Móveis,7,7,1,1,3915.5000,371.5500,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,6,7,0.09489210
30976,2020-08-31,2020-09-08,10Estrela,AAA,Móveis,2,2,2,2,604.9600,604.9600,ativo,0,0.0000,0,0.0000,0,0,0,0,2,0,0,2,2,1.00000000
10138,2020-08-07,2020-08-25,MegaMamute,AAA,Tecnologia,30,30,14,14,33452.0200,15645.9700,ativo,0,0.0000,1,846.9000,0,0,0,0,14,0,0,15,30,0.46771376
10138,2020-08-09,2020-09-01,MegaMamute,AAA,Tecnologia,3,3,1,1,4070.9800,2612.9000,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,3,3,0.64183563
10138,2020-08-20,2020-09-16,MegaMamute,AAA,Tecnologia,5,5,4,4,9273.5100,6802.8800,ativo,0,0.0000,0,0.0000,0,0,3,3,1,0,0,4,5,0.73358200
30976,2020-08-07,2020-09-28,10Estrela,AAA,Móveis,1,1,0,0,471.1700,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-16,2020-10-20,10Estrela,AAA,Móveis,1,1,1,1,653.2400,653.2400,ativo,0,0.0000,0,0.0000,1,0,0,1,0,0,0,1,1,1.00000000
30976,2020-08-17,2020-09-14,10Estrela,AAA,Móveis,2,2,2,2,557.0500,557.0500,ativo,0,0.0000,0,0.0000,0,0,1,1,1,0,0,2,2,1.00000000
30976,2020-08-28,2020-10-16,10Estrela,AAA,Móveis,1,1,0,0,388.4400,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-30,2020-11-27,10Estrela,AAA,Móveis,1,1,1,1,569.7800,569.7800,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
10138,2020-08-22,2020-09-07,MegaMamute,AAA,Tecnologia,22,23,12,12,34815.3000,17180.0200,ativo,0,0.0000,1,144.4700,0,0,0,1,11,0,0,13,23,0.49346178
30976,2020-08-01,2020-09-16,10Estrela,AAA,Móveis,3,3,1,1,3676.0200,1225.3400,ativo,0,0.0000,0,0.0000,0,0,0,0,0,1,0,1,3,0.33333333
30976,2020-08-13,2020-08-28,10Estrela,AAA,Móveis,39,41,26,27,11619.4400,6529.9300,ativo,1,156.0100,6,1638.5700,0,0,0,4,22,0,0,28,41,0.56198319
30976,2020-08-13,2020-09-16,10Estrela,AAA,Móveis,1,1,0,0,539.0000,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
