ID Loja;Lojista;Cluster;Mundo;Responsável
11764;BESTPLUS;AAA;Tecnologia;Marcella
11045;Casa da Máquina;A;Cauda Longa;Ana Pontes
10438;Cabeleza;A;Cauda Longa;Ana Pontes
10007;JOCAR;AA;Cauda Longa;Ana Pontes
11015;Big Stok;A;Móveis;Ana pontes
14704;Loja Oficial Casio;A;Cauda Longa;Ana Pontes
13600;CAVUCA;A;Tecnologia;Ana pontes
10147;Lazer & Vida;A;Cauda Longa;Suporte
14703;Loja Oficial Canon;A;Cauda Longa;Ana Pontes
14709;Loja Oficial Sennheiser;A;Cauda Longa;Ana Pontes
14705;Loja Oficial One For All;A;Cauda Longa;Ana Pontes
14034;MilliumMóveis;AAA;Móveis;Eve
13998;MasterTronic;AA;Tecnologia;Ana pontes
12231;Olist;AAA;Cauda Longa;Ana pontes
14181;Marson Lar & Construção;AA;Móveis;Ana pontes
13852;Universal Celulares;A;Tecnologia;Ana pontes
10778;Elare;A;Móveis;Ana pontes
10022;CASAAMERICA;A;Móveis;Ana pontes
10523;Mundomax;A;Cauda Longa;Ana Pontes
10189;KD Pneus;AAA;Cauda Longa;Patricia
11980;JCA;A;Cauda Longa;Suporte
11654;CenterSaúde;A;Cauda Longa;Suporte
11641;LadyHair Profissional;A;Cauda Longa;Ana Pontes
11394;Móveis Unidos;A;Móveis;Suporte
11795;LILLIPUT Brinquedos;A;Cauda Longa;Ana Pontes
10708;Arsenal Car;A;Cauda Longa;Suporte
11656;RS Performance;A;Cauda Longa;Ana Pontes
11789;Alphabox;A;Cauda Longa;Suporte
11161;Autoparts Online;A;Cauda Longa;Ana Pontes
10225;Ezzencia;A;Cauda Longa;Suporte
10064;BOOCKERS;A;Cauda Longa;Suporte
11162;Mobile Maníacos;A;Tecnologia;Ana pontes
10431;Ideal Ferramentas;A;Cauda Longa;Suporte
10208;Câmeras de Segurança;A;Cauda Longa;Suporte
10099;POLARIO;A;Cauda Longa;Suporte
10784;Vendas Rápidas;AAA;Cauda Longa;Ana Pontes
12225;Power Home;AA;Tecnologia;Ana pontes
11720;Tudo Forte;AAA;Cauda Longa;Ana Modesto 
10423;Tecnoferramentas;A;Cauda Longa;Ana Pontes
10470;Seu Enxoval;A;Cauda Longa;Suporte
10612;Grande Eletro;AAA;Tecnologia;Ana pontes
10521;Decore Home Center;A;Cauda Longa;Ana Pontes
10448;GG Presentes;A;Cauda Longa;Ana Pontes
10923;SB Magazine;A;Cauda Longa;Ana Pontes
10623;Empório do Lazer;A;Cauda Longa;Ana Pontes
11422;X5 COMPUTADORES;A;Cauda Longa;Ana Pontes
11263;Trapemix;A;Cauda Longa;Suporte
11502;Mycompras;A;Tecnologia;Ana pontes
10817;SOS da Piscina;A;Cauda Longa;Ana Pontes
10256;Amigonauta;A;Cauda Longa;Ana Pontes
10101;BAZARHORIZONTE;A;Cauda Longa;Suporte
11240;"WEBMIC click, compre";A;Cauda Longa;Ana Pontes
